<CHAPTER	NN	<CHAPTER
withdrawn	VBN	withdraw
from	IN	from
the	DT	the
agenda	NN	agenda
.	.	.

<SPEAKER	NN	<unknown>
ID=6	NNP	<unknown>
NAME="Ahern">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
regarding	VBG	regard
Mrs	NNP	Mrs
Lynne	NNP	Lynne
's	POS	's
comments	NNS	comment
yesterday	NN	yesterday
about	IN	about
health	NN	health
and	CC	and
safety	NN	safety
in	IN	in
this	DT	this
building	NN	building
,	,	,
I	PRP	i
presume	VBP	presume
she	PRP	she
was	VBD	be
talking	VBG	talk
about	IN	about
the	DT	the
drains	NNS	drain
because	IN	because
there	EX	there
is	VBZ	be
a	DT	a
dreadful	JJ	dreadful
smell	NN	smell
of	IN	of
drains	NNS	drain
on	IN	on
the	DT	the
fifth	JJ	fifth
floor	NN	floor
in	IN	in
the	DT	the
Tower	NNP	Tower
.	.	.

This	DT	this
needs	VBZ	need
to	TO	to
be	VB	be
looked	VBN	look
into	IN	into
because	IN	because
it	PRP	it
is	VBZ	be
clearly	RB	clearly
an	DT	an
indication	NN	indication
that	IN	that
something	NN	something
is	VBZ	be
seriously	RB	seriously
wrong	JJ	wrong
.	.	.

I	PRP	i
do	VBP	do
not	RB	not
want	VB	want
to	TO	to
drag	VB	drag
up	RP	up
the	DT	the
issue	NN	issue
of	IN	of
this	DT	this
building	NN	building
endlessly	RB	endlessly
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
a	DT	a
serious	JJ	serious
problem	NN	problem
.	.	.

<SPEAKER	NN	<unknown>
ID=7	NNP	<unknown>
NAME="President">	NNP	<unknown>
Mrs	NNP	Mrs
Ahern	NNP	Ahern
,	,	,
we	PRP	we
have	VBP	have
taken	VBN	take
note	NN	note
of	IN	of
this	DT	this
.	.	.

I	PRP	i
would	MD	would
ask	VB	ask
you	PRP	you
to	TO	to
bring	VB	bring
this	DT	this
specific	JJ	specific
case	NN	case
,	,	,
which	WDT	which
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
ventilators	NNS	ventilator
on	IN	on
a	DT	a
particular	JJ	particular
floor	NN	floor
,	,	,
to	TO	to
the	DT	the
attention	NN	attention
of	IN	of
the	DT	the
Quaestors	NNPS	Quaestor
,	,	,
who	WP	who
are	VBP	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
responsible	JJ	responsible
for	IN	for
the	DT	the
matter	NN	matter
.	.	.

We	PRP	we
will	MD	will
also	RB	also
pass	VB	pass
this	DT	this
on	IN	on
to	TO	to
our	PRP$	our
services	NNS	service
,	,	,
however	RB	however
.	.	.

Thank	VB	thank
you	PRP	you
very	RB	very
much	RB	much
.	.	.

<P>	NNP	<unknown>
(	(	(
The	DT	the
Minutes	NNPS	Minutes
were	VBD	be
approved	VBN	approve
)	)	)
<CHAPTER	NNP	<CHAPTER
ID=2>	NNP	<unknown>
Reform	NNP	Reform
of	IN	of
European	JJ	European
competition	NN	competition
policy	NN	policy
<SPEAKER	NNP	<SPEAKER
ID=8	NNP	<unknown>
NAME="President">	NNP	<unknown>
The	DT	the
next	JJ	next
item	NN	item
is	VBZ	be
the	DT	the
joint	JJ	joint
debate	NN	debate
on	IN	on
the	DT	the
following	VBG	follow
reports	NNS	report
:	:	:
<P>	VB	<unknown>
A5-0069/1999	CD	A5-0069/1999
by	IN	by
Mr	NNP	Mr
von	NNP	von
Wogau	NNP	Wogau
,	,	,
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
Committee	NNP	Committee
on	IN	on
Economic	NNP	Economic
and	CC	and
Monetary	NNP	Monetary
Affairs	NNP	Affairs
,	,	,
on	IN	on
the	DT	the
Commission	NNP	Commission
White	NNP	White
Paper	NNP	Paper
on	IN	on
modernisation	NN	modernisation
of	IN	of
the	DT	the
rules	NNS	rule
implementing	VBG	implement
Articles	NNS	article
85	CD	85
and	CC	and
86	CD	86
of	IN	of
the	DT	the
EC	NNP	EC
Treaty	NNP	Treaty
[	CD	@card@
COM(1999)	NNP	<unknown>
101	CD	@card@
-	:	-
C5-0105/1999	CD	C5-0105/1999
-	:	-
1999/2108(COS)	CD	<unknown>
]	SYM	]
;	:	;
<P>	NNP	<unknown>
A5-0078/1999	NNP	A5-0078899
by	IN	by
Mr	NNP	Mr
Rapkay	NNP	Rapkay
,	,	,
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
Committee	NNP	Committee
on	IN	on
Economic	NNP	Economic
and	CC	and
Monetary	NNP	Monetary
Affairs	NNP	Affairs
,	,	,
on	IN	on
the	DT	the
European	NNP	European
Commission	NNP	Commission
'	''	'
s	NNP	s
XXVIIIth	NNP	XXVIIIth
Report	NNP	Report
on	IN	on
Competition	NNP	Competition
Policy	NNP	Policy
1998	CD	@card@
[	CD	@card@
SEK(1999)	NNP	<unknown>
743	CD	@card@
-	:	-
C5-0121/1999	CD	C5-0121/1999
-	:	-
1999/2124(COS)	CD	<unknown>
]	SYM	]
;	:	;
<P>	JJ	<unknown>
A5-0087/1999	NNP	A5-0087/1999
by	IN	by
Mr	NNP	Mr
Jonckheer	NNP	Jonckheer
,	,	,
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
Committee	NNP	Committee
on	IN	on
Economic	NNP	Economic
and	CC	and
Monetary	NNP	Monetary
Affairs	NNP	Affairs
,	,	,
on	IN	on
the	DT	the
seventh	JJ	seventh
survey	NN	survey
on	IN	on
state	NN	state
aid	NN	aid
in	IN	in
the	DT	the
European	NNP	European
Union	NNP	Union
in	IN	in
the	DT	the
manufacturing	NN	manufacturing
and	CC	and
certain	JJ	certain
other	JJ	other
sectors	NNS	sector
.	.	.

[	CD	@card@
COM(1999)	NN	<unknown>
148	CD	@card@
-	:	-
C5-0107/1999	CD	C5-0107/1999
-	:	-
1999/2110(COS)	CD	<unknown>
]	.	]
(	(	(
Report	NNP	Report
1995-1997	CD	1995-1997
)	)	)
;	:	;
<P>	NNP	<unknown>
A5-0073/1999	CD	A5-0073/1999
by	IN	by
Mr	NNP	Mr
Langen	NNP	Langen
,	,	,
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
Committee	NNP	Committee
on	IN	on
Economic	NNP	Economic
and	CC	and
Monetary	NNP	Monetary
Affairs	NNP	Affairs
,	,	,
on	IN	on
the	DT	the
Commission	NNP	Commission
Report	NNP	Report
on	IN	on
the	DT	the
implementation	NN	implementation
in	IN	in
1998	CD	@card@
of	IN	of
Commission	NNP	Commission
Decision	NNP	Decision
No.	NN	No.
2496/96/ECSC	JJ	2496/96/ECSC
of	IN	of
18	CD	@card@
December	NNP	December
1996	CD	1996
establishing	VBG	establish
Community	NN	community
rules	NNS	rule
for	IN	for
State	NNP	State
aid	NN	aid
to	TO	to
the	DT	the
steel	NN	steel
industry	NN	industry
(	(	(
Steel	NNP	Steel
Aid	NNP	Aid
Code	NNP	Code
)	)	)
.	.	.

[	CD	@card@
COM(1999)	NN	<unknown>
94	CD	@card@
-	:	-
C5-0104/1999	CD	C5-0104/1999
-	:	-
1999/2107(COS)	CD	<unknown>
]	.	]
.	.	.

<SPEAKER	NN	<unknown>
ID=9	NNP	<unknown>
LANGUAGE="DE	NNP	<unknown>
"	NNP	"
NAME="von	NNP	<unknown>
Wogau">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
the	DT	the
Commission	NNP	Commission
'	''	'
s	NNP	s
White	NNP	White
Paper	NNP	Paper
on	IN	on
modernisation	NN	modernisation
of	IN	of
the	DT	the
European	JJ	European
competition	NN	competition
rules	NNS	rule
has	VBZ	have
ignited	VBN	ignite
intense	JJ	intense
and	CC	and
lively	JJ	lively
debate	NN	debate
amongst	IN	amongst
interested	JJ	interested
members	NNS	member
of	IN	of
the	DT	the
public	NN	public
.	.	.

The	DT	the
reactions	NNS	reaction
from	IN	from
experts	NNS	expert
and	CC	and
persons	NNS	person
affected	VBD	affect
range	NN	range
from	IN	from
complete	JJ	complete
rejection	NN	rejection
to	TO	to
unconditional	JJ	unconditional
support	NN	support
.	.	.

What	WP	what
is	VBZ	be
this	DT	this
White	NNP	White
Paper	NNP	Paper
,	,	,
in	IN	in
fact	NN	fact
,	,	,
about	IN	about
?	.	?

<P>	IN	<unknown>
The	DT	the
existing	VBG	exist
system	NN	system
of	IN	of
European	JJ	European
competition	NN	competition
rules	NNS	rule
was	VBD	be
set	VBN	set
up	RP	up
in	IN	in
the	DT	the
early	JJ	early
years	NNS	year
of	IN	of
the	DT	the
Community	NNP	Community
.	.	.

This	DT	this
system	NN	system
,	,	,
which	WDT	which
is	VBZ	be
based	VBN	base
on	IN	on
a	DT	a
centralised	VBN	centralise
application	NN	application
and	CC	and
approvals	NNS	approval
procedure	NN	procedure
,	,	,
was	VBD	be
certainly	RB	certainly
appropriate	JJ	appropriate
for	IN	for
the	DT	the
conditions	NNS	condition
prevailing	VBG	prevail
at	IN	at
the	DT	the
time	NN	time
.	.	.

This	DT	this
procedure	NN	procedure
made	VBD	make
a	DT	a
substantial	JJ	substantial
contribution	NN	contribution
to	TO	to
the	DT	the
development	NN	development
of	IN	of
a	DT	a
European	JJ	European
competition	NN	competition
culture	NN	culture
.	.	.

However	RB	however
,	,	,
the	DT	the
framework	NN	framework
conditions	NNS	condition
have	VBP	have
fundamentally	RB	fundamentally
changed	VBN	change
in	IN	in
the	DT	the
40	CD	@card@
years	NNS	year
since	IN	since
it	PRP	it
came	VBD	come
into	IN	into
being	VBG	be
.	.	.

The	DT	the
Community	NNP	Community
of	IN	of
6	CD	@card@
has	VBZ	have
enlarged	VBN	enlarge
to	TO	to
one	CD	one
of	IN	of
15	CD	@card@
and	CC	and
is	VBZ	be
set	VBN	set
to	TO	to
undergo	VB	undergo
further	JJ	further
enlargement	NN	enlargement
to	TO	to
encompass	VB	encompass
27	CD	@card@
members	NNS	member
.	.	.

But	CC	but
the	DT	the
system	NN	system
has	VBZ	have
hardly	RB	hardly
changed	VBN	change
at	IN	at
all	DT	all
.	.	.

<P>	NNP	<unknown>
That	DT	that
is	VBZ	be
why	WRB	why
there	EX	there
is	VBZ	be
an	DT	an
urgent	JJ	urgent
need	NN	need
for	IN	for
reform	NN	reform
,	,	,
and	CC	and
no	DT	no
one	NN	one
takes	VBZ	take
issue	NN	issue
with	IN	with
this	DT	this
in	IN	in
debate	NN	debate
.	.	.

Nevertheless	RB	nevertheless
,	,	,
certain	JJ	certain
critics	NNS	critic
are	VBP	be
of	IN	of
the	DT	the
opinion	NN	opinion
that	IN	that
the	DT	the
Commission	NNP	Commission
'	''	'
s	POS	s
proposals	NNS	proposal
go	VBP	go
too	RB	too
far	RB	far
.	.	.

The	DT	the
Commission	NNP	Commission
wants	VBZ	want
to	TO	to
abolish	VB	abolish
the	DT	the
application	NN	application
and	CC	and
approvals	NNS	approval
procedure	NN	procedure
and	CC	and
enhance	VB	enhance
the	DT	the
role	NN	role
of	IN	of
national	JJ	national
authorities	NNS	authority
and	CC	and
courts	NNS	court
in	IN	in
the	DT	the
implementation	NN	implementation
of	IN	of
the	DT	the
competition	NN	competition
rules	NNS	rule
.	.	.

In	IN	in
other	JJ	other
words	NNS	word
,	,	,
this	DT	this
would	MD	would
mean	VB	mean
a	DT	a
transition	NN	transition
from	IN	from
an	DT	an
authorisation	NN	authorisation
system	NN	system
to	TO	to
one	CD	one
of	IN	of
legal	JJ	legal
exemption	NN	exemption
.	.	.

However	RB	however
,	,	,
the	DT	the
prohibition	NN	prohibition
principle	NN	principle
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
important	JJ	important
,	,	,
is	VBZ	be
to	TO	to
be	VB	be
retained	VBN	retain
.	.	.

<P>	RB	<unknown>
In	IN	in
principle	NN	principle
,	,	,
I	PRP	i
take	VBP	take
the	DT	the
view	NN	view
that	IN	that
we	PRP	we
ought	MD	ought
,	,	,
when	WRB	when
an	DT	an
authority	NN	authority
accused	VBN	accuse
of	IN	of
tending	VBG	tend
towards	IN	towards
bureaucracy	NN	bureaucracy
and	CC	and
centralism	NN	centralism
,	,	,
submits	VBZ	submit
a	DT	a
proposal	NN	proposal
for	IN	for
debureaucratisation	NN	debureaucratisation
and	CC	and
decentralisation	NN	decentralisation
,	,	,
to	TO	to
at	IN	at
least	JJS	least
give	VB	give
this	DT	this
serious	JJ	serious
consideration	NN	consideration
.	.	.

According	VBG	accord
to	TO	to
the	DT	the
Commission	NNP	Commission
's	POS	's
proposal	NN	proposal
,	,	,
it	PRP	it
all	DT	all
revolves	VBZ	revolve
around	IN	around
competition-inhibiting	VBG	competition-inhibit
agreements	NNS	agreement
between	IN	between
enterprises	NNS	enterprise
and	CC	and
abuses	NNS	abuse
of	IN	of
powerful	JJ	powerful
positions	NNS	position
.	.	.

However	RB	however
,	,	,
the	DT	the
notification	NN	notification
obligation	NN	obligation
,	,	,
with	IN	with
respect	NN	respect
to	TO	to
state	NN	state
aid	NN	aid
and	CC	and
corporate	JJ	corporate
concentrations	NNS	concentration
,	,	,
is	VBZ	be
to	TO	to
be	VB	be
retained	VBN	retain
.	.	.

<P>	NNP	<unknown>
The	DT	the
Committee	NNP	Committee
on	IN	on
Economic	NNP	Economic
and	CC	and
Monetary	NNP	Monetary
Affairs	NNPS	Affair
gave	VBD	give
its	PRP$	its
blessing	NN	blessing
in	IN	in
principle	NN	principle
to	TO	to
these	DT	these
proposals	NNS	proposal
put	VBN	put
forward	RB	forward
by	IN	by
the	DT	the
Commission	NNP	Commission
,	,	,
with	IN	with
only	RB	only
one	CD	one
vote	NN	vote
against	IN	against
and	CC	and
two	CD	two
abstentions	NNS	abstention
.	.	.

However	RB	however
,	,	,
it	PRP	it
will	MD	will
only	RB	only
be	VB	be
possible	JJ	possible
to	TO	to
form	VB	form
a	DT	a
conclusive	JJ	conclusive
assessment	NN	assessment
once	IN	once
the	DT	the
currently	RB	currently
awaited	VBN	await
bills	NNS	bill
produced	VBN	produce
by	IN	by
the	DT	the
Commission	NNP	Commission
are	VBP	be
published	VBN	publish
.	.	.

<P>	NNP	<unknown>
<P>	NNP	<unknown>
Whilst	IN	whilst
I	PRP	i
may	MD	may
endorse	VB	endorse
the	DT	the
Commission	NNP	Commission
'	''	'
s	POS	s
proposals	NNS	proposal
in	IN	in
principle	NN	principle
,	,	,
still	RB	still
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
points	NNS	point
that	WDT	that
warrant	VBP	warrant
improvement	NN	improvement
,	,	,
or	CC	or
at	IN	at
least	JJS	least
clarification	NN	clarification
.	.	.

I	PRP	i
would	MD	would
like	VB	like
to	TO	to
go	VB	go
into	IN	into
some	DT	some
of	IN	of
these	DT	these
points	NNS	point
briefly	NN	briefly
.	.	.

Many	JJ	many
critics	NNS	critic
of	IN	of
the	DT	the
White	NNP	White
Paper	NNP	Paper
maintain	VBP	maintain
that	DT	that
decentralisation	NN	decentralisation
will	MD	will
jeopardise	VB	jeopardise
the	DT	the
consistent	JJ	consistent
application	NN	application
of	IN	of
Community	NNP	Community
legislation	NN	legislation
.	.	.

Not	RB	not
all	DT	all
national	JJ	national
authorities	NNS	authority
,	,	,
in	IN	in
particular	JJ	particular
the	DT	the
courts	NNS	court
,	,	,
are	VBP	be
in	IN	in
a	DT	a
position	NN	position
as	RB	as
yet	RB	yet
to	TO	to
fulfil	VB	fulfil
the	DT	the
role	NN	role
the	DT	the
Commission	NNP	Commission
has	VBZ	have
in	IN	in
mind	NN	mind
for	IN	for
them	PRP	them
when	WRB	when
it	PRP	it
comes	VBZ	come
to	TO	to
the	DT	the
application	NN	application
of	IN	of
the	DT	the
competition	NN	competition
rules	NNS	rule
.	.	.

<P>	NNP	<unknown>
Firstly	RB	firstly
,	,	,
in	IN	in
the	DT	the
course	NN	course
of	IN	of
the	DT	the
last	JJ	last
few	JJ	few
decades	NNS	decade
the	DT	the
national	JJ	national
monopolies	NNS	monopoly
have	VBP	have
familiarised	VBN	familiarise
themselves	PRP	<unknown>
with	IN	with
the	DT	the
implementation	NN	implementation
of	IN	of
the	DT	the
competition	NN	competition
rules	NNS	rule
to	TO	to
an	DT	an
adequate	JJ	adequate
degree	NN	degree
.	.	.

Secondly	RB	secondly
,	,	,
the	DT	the
national	JJ	national
courts	NNS	court
will	MD	will
be	VB	be
empowered	VBN	empower
to	TO	to
implement	VB	implement
Articles	NNPS	Articles
81	CD	81
(	(	(
1	LS	1
)	)	)
,	,	,
82	CD	@card@
and	CC	and
86	CD	86
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
current	JJ	current
administration	NN	administration
of	IN	of
justice	NN	justice
.	.	.

Nonetheless	RB	nonetheless
,	,	,
it	PRP	it
is	VBZ	be
still	RB	still
extremely	RB	extremely
important	JJ	important
for	IN	for
the	DT	the
Commission	NNP	Commission
to	TO	to
support	VB	support
the	DT	the
national	JJ	national
authorities	NNS	authority
and	CC	and
courts	NNS	court
with	IN	with
group	NN	group
exemption	NN	exemption
regulations	NNS	regulation
,	,	,
guidelines	NNS	guideline
and	CC	and
notices	NNS	notice
.	.	.

Furthermore	RB	furthermore
,	,	,
cooperation	NN	cooperation
between	IN	between
the	DT	the
national	JJ	national
authorities	NNS	authority
and	CC	and
the	DT	the
Commission	NNP	Commission
,	,	,
as	RB	as
well	RB	well
as	IN	as
amongst	IN	amongst
the	DT	the
national	JJ	national
authorities	NNS	authority
themselves	PRP	<unknown>
,	,	,
must	MD	must
be	VB	be
strengthened	VBN	strengthen
.	.	.

<P>	JJ	<unknown>
As	RB	as
far	RB	far
as	IN	as
the	DT	the
