<CHAPTER	NNP	<CHAPTER
ID=4	NNP	<unknown>
LANGUAGE="IT	NNP	<unknown>
"	NNP	"
NAME="Napolitano">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
I	PRP	i
had	VBD	have
the	DT	the
same	JJ	same
experience	NN	experience
as	IN	as
Mr	NNP	Mr
Medina	NNP	Medina
Ortega	NNP	Ortega
yesterday	NN	yesterday
.	.	.

<P>	RB	<unknown>
I	PRP	i
feel	VBP	feel
that	IN	that
the	DT	the
French	JJ	French
authorities	NNS	authority
-	:	-
which	WDT	which
have	VBP	have
the	DT	the
honour	NN	honour
of	IN	of
housing	NN	housing
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
in	IN	in
Strasbourg	NNP	Strasbourg
-	:	-
should	MD	should
be	VB	be
aware	JJ	aware
of	IN	of
their	PRP$	<unknown>
responsibility	NN	responsibility
to	TO	to
ensure	VB	ensure
adequate	JJ	adequate
connections	NNS	connection
with	IN	with
all	PDT	all
the	DT	the
capitals	NNS	capital
of	IN	of
the	DT	the
Union	NNP	Union
.	.	.

<SPEAKER	NN	<unknown>
ID=5	NNP	<unknown>
NAME="President">	NNP	<unknown>
Absolutely	RB	absolutely
,	,	,
Mr	NNP	Mr
Napolitano	NNP	Napolitano
.	.	.

Thank	VB	thank
you	PRP	you
.	.	.

<SPEAKER	NN	<unknown>
ID=6	NNP	<unknown>
NAME="Lannoye">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
off	IN	off
the	DT	the
subject	NN	subject
of	IN	of
aeroplane	NN	aeroplane
delays	NNS	delay
,	,	,
I	PRP	i
wish	VBP	wish
to	TO	to
apologise	VB	apologise
for	IN	for
the	DT	the
absence	NN	absence
yesterday	NN	yesterday
of	IN	of
my	PRP$	my
colleague	NN	colleague
in	IN	in
the	DT	the
Group	NNP	Group
of	IN	of
the	DT	the
Greens/European	NNP	Greens/European
Free	NNP	Free
Alliance	NNP	Alliance
,	,	,
Caroline	NNP	Caroline
Lucas	NNP	Lucas
,	,	,
who	WP	who
is	VBZ	be
a	DT	a
British	NNP	British
Member	NNP	Member
.	.	.

She	PRP	she
could	MD	could
not	RB	not
be	VB	be
here	RB	here
because	IN	because
she	PRP	she
was	VBD	be
arrested	VBN	arrest
yesterday	NN	yesterday
morning	NN	morning
during	IN	during
an	DT	an
anti-nuclear	JJ	anti-nuclear
demonstration	NN	demonstration
in	IN	in
Glasgow	NNP	Glasgow
.	.	.

Although	IN	although
her	PRP$	her
identity	NN	identity
was	VBD	be
noted	VBN	note
and	CC	and
her	PRP$	her
position	NN	position
as	IN	as
a	DT	a
Member	NNP	Member
of	IN	of
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
was	VBD	be
very	RB	very
apparent	JJ	apparent
,	,	,
she	PRP	she
was	VBD	be
still	RB	still
held	VBN	hold
in	IN	in
custody	NN	custody
all	DT	all
day	NN	day
.	.	.

I	PRP	i
regard	VBP	regard
this	DT	this
as	RB	as
absolutely	RB	absolutely
unacceptable	JJ	unacceptable
and	CC	and
would	MD	would
ask	VB	ask
you	PRP	you
to	TO	to
contact	VB	contact
the	DT	the
British	JJ	British
authorities	NNS	authority
in	IN	in
order	NN	order
to	TO	to
ensure	VB	ensure
that	IN	that
this	DT	this
does	VBZ	do
not	RB	not
happen	VB	happen
again	RB	again
and	CC	and
that	IN	that
Mrs	NNP	Mrs
Lucas	NNP	Lucas
receives	VBZ	receive
an	DT	an
apology	NN	apology
.	.	.

I	PRP	i
have	VBP	have
written	VBN	write
to	TO	to
you	PRP	you
in	IN	in
this	DT	this
respect	NN	respect
together	RB	together
with	IN	with
my	PRP$	my
colleague	NN	colleague
,	,	,
Mrs	NNP	Mrs
Hautala	NNP	Hautala
.	.	.

<SPEAKER	NN	<unknown>
ID=7	NNP	<unknown>
NAME="President">	NNP	<unknown>
Thank	VB	thank
you	PRP	you
,	,	,
Mr	NNP	Mr
Lannoye	NNP	Lannoye
.	.	.

I	PRP	i
have	VBP	have
received	VBN	receive
your	PRP$	your
letter	NN	letter
and	CC	and
have	VBP	have
already	RB	already
contacted	VBN	contact
the	DT	the
British	NNP	British
Permanent	NNP	Permanent
Representative	NNP	Representative
.	.	.

<SPEAKER	NN	<unknown>
ID=8	NNP	<unknown>
LANGUAGE="DE	NNP	<unknown>
"	NNP	"
NAME="Stenzel">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
I	PRP	i
should	MD	should
like	VB	like
to	TO	to
make	VB	make
a	DT	a
request	NN	request
in	IN	in
connection	NN	connection
with	IN	with
today	NN	today
'	''	'
s	NNS	s
vote	NN	vote
which	WDT	which
I	PRP	i
started	VBD	start
to	TO	to
make	VB	make
yesterday	NN	yesterday
during	IN	during
the	DT	the
debate	NN	debate
on	IN	on
the	DT	the
EQUAL	NNP	EQUAL
report	NN	report
.	.	.

I	PRP	i
should	MD	should
like	VB	like
the	DT	the
vote	NN	vote
on	IN	on
the	DT	the
Community	NNP	Community
EQUAL	NNP	EQUAL
initiative	NN	initiative
to	TO	to
be	VB	be
postponed	VBN	postpone
because	IN	because
we	PRP	we
need	VBP	need
a	DT	a
bit	NN	bit
more	JJR	more
time	NN	time
to	TO	to
negotiate	VB	negotiate
an	DT	an
important	JJ	important
point	NN	point
.	.	.

I	PRP	i
am	VBP	be
optimistic	JJ	optimistic
and	CC	and
quite	RB	quite
relaxed	JJ	relaxed
and	CC	and
confident	JJ	confident
about	IN	about
the	DT	the
vote	NN	vote
;	:	;
we	PRP	we
shall	MD	shall
gain	VB	gain
broad	JJ	broad
support	NN	support
for	IN	for
this	DT	this
opinion	NN	opinion
on	IN	on
EQUAL	NNP	EQUAL
.	.	.

We	PRP	we
just	RB	just
need	VBP	need
a	DT	a
bit	NN	bit
more	JJR	more
time	NN	time
to	TO	to
work	VB	work
out	RP	out
the	DT	the
details	NNS	detail
on	IN	on
the	DT	the
asylum	NN	asylum
question	NN	question
and	CC	and
I	PRP	i
would	MD	would
therefore	RB	therefore
request	VB	request
that	IN	that
the	DT	the
vote	NN	vote
be	VB	be
postponed	VBN	postpone
from	IN	from
this	DT	this
morning	NN	morning
.	.	.

<SPEAKER	NN	<unknown>
ID=9	NNP	<unknown>
NAME="Miller">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
to	TO	to
follow	VB	follow
on	RP	on
from	IN	from
the	DT	the
point	NN	point
that	IN	that
Mr	NNP	Mr
Lannoye	NNP	Lannoye
made	VBD	make
:	:	:
Mrs	NNP	Mrs
Lucas	NNP	Lucas
was	VBD	be
arrested	VBN	arrest
just	RB	just
outside	IN	outside
Glasgow	NNP	Glasgow
for	IN	for
protesting	VBG	protest
against	IN	against
the	DT	the
Trident	NNP	Trident
base	NN	base
at	IN	at
Faslane	NNP	Faslane
.	.	.

I	PRP	i
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
sympathy	NN	sympathy
with	IN	with
that	DT	that
protest	NN	protest
.	.	.

I	PRP	i
have	VBP	have
,	,	,
however	RB	however
,	,	,
no	DT	no
sympathy	NN	sympathy
for	IN	for
Mrs	NNP	Mrs
Lucas	NNP	Lucas
trying	VBG	try
to	TO	to
hide	VB	hide
behind	IN	behind
her	PRP$	her
Parliamentary	JJ	Parliamentary
immunity	NN	immunity
.	.	.

<P>	RB	<unknown>
I	PRP	i
have	VBP	have
also	RB	also
been	VBN	be
arrested	VBN	arrest
for	IN	for
protesting	VBG	protest
at	IN	at
Faslane	NNP	Faslane
.	.	.

I	PRP	i
did	VBD	do
not	RB	not
hide	VB	hide
behind	IN	behind
any	DT	any
immunity	NN	immunity
.	.	.

I	PRP	i
took	VBD	take
the	DT	the
punishment	NN	punishment
that	WDT	that
came	VBD	come
to	TO	to
me	PRP	me
.	.	.

Mrs	NNP	Mrs
Lucas	NNP	Lucas
should	MD	should
do	VB	do
the	DT	the
same	JJ	same
.	.	.

<SPEAKER	NN	<unknown>
ID=10	NN	<unknown>
LANGUAGE="IT	NNP	<unknown>
"	NNP	"
NAME="Ghilardotti">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
I	PRP	i
would	MD	would
like	VB	like
to	TO	to
comment	VB	comment
on	IN	on
the	DT	the
request	NN	request
Mrs	NNP	Mrs
Stenzel	NNP	Stenzel
has	VBZ	have
made	VBN	make
to	TO	to
postpone	VB	postpone
the	DT	the
vote	NN	vote
on	IN	on
the	DT	the
Community	NNP	Community
initiative	NN	initiative
EQUAL	NNP	EQUAL
until	IN	until
tomorrow	NN	tomorrow
.	.	.

<P>	NNP	<unknown>
In	IN	in
fact	NN	fact
,	,	,
this	DT	this
initiative	NN	initiative
was	VBD	be
the	DT	the
subject	NN	subject
of	IN	of
a	DT	a
very	RB	very
lively	JJ	lively
debate	NN	debate
in	IN	in
committee	NN	committee
,	,	,
and	CC	and
,	,	,
given	VBN	give
that	IN	that
it	PRP	it
is	VBZ	be
a	DT	a
major	JJ	major
Commission	NNP	Commission
proposal	NN	proposal
,	,	,
which	WDT	which
refers	VBZ	refer
to	TO	to
the	DT	the
agreements	NNS	agreement
we	PRP	we
reached	VBD	reach
last	JJ	last
year	NN	year
,	,	,
I	PRP	i
consider	VBP	consider
it	PRP	it
admissible	JJ	admissible
.	.	.

<P>	VBP	<unknown>
We	PRP	we
agree	VBP	agree
with	IN	with
Mrs	NNP	Mrs
Stenzel	NNP	Stenzel
that	IN	that
the	DT	the
request	NN	request
to	TO	to
postpone	VB	postpone
the	DT	the
vote	NN	vote
is	VBZ	be
admissible	JJ	admissible
in	IN	in
the	DT	the
interests	NNS	interest
of	IN	of
achieving	VBG	achieve
the	DT	the
greatest	JJS	great
possible	JJ	possible
agreement	NN	agreement
between	IN	between
the	DT	the
groups	NNS	group
,	,	,
so	IN	so
that	IN	that
Parliament	NNP	Parliament
can	MD	can
express	VB	express
its	PRP$	its
position	NN	position
on	IN	on
this	DT	this
initiative	NN	initiative
with	IN	with
the	DT	the
broadest	JJS	broad
majority	NN	majority
possible	JJ	possible
.	.	.

<SPEAKER	NN	<unknown>
ID=11	NNP	<unknown>
NAME="President">	NNP	<unknown>
Does	VBZ	do
anyone	NN	anyone
want	VB	want
to	TO	to
speak	VB	speak
against	IN	against
Mrs	NNP	Mrs
Stenzel	NNP	Stenzel
'	POS	'
s	POS	s
request	NN	request
,	,	,
as	IN	as
supported	VBN	support
by	IN	by
Mrs	NNP	Mrs
Ghilardotti	NNP	Ghilardotti
?	.	?

<P>	RB	<unknown>
If	IN	if
not	RB	not
,	,	,
then	RB	then
we	PRP	we
will	MD	will
proceed	VB	proceed
to	TO	to
the	DT	the
vote	NN	vote
.	.	.

<P>	NNP	<unknown>
(	(	(
Parliament	NNP	Parliament
approved	VBD	approve
the	DT	the
request	NN	request
)	)	)
<SPEAKER	NNP	<SPEAKER
ID=12	NNP	<unknown>
NAME="Corbett">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
under	IN	under
Rule	NNP	Rule
29(4)	CD	@card@
you	PRP	you
should	MD	should
be	VB	be
kept	VBN	keep
informed	VBN	inform
by	IN	by
political	JJ	political
groups	NNS	group
of	IN	of
any	DT	any
Members	NNS	member
who	WP	who
have	VBP	have
joined	VBN	join
a	DT	a
new	JJ	new
political	JJ	political
group	NN	group
or	CC	or
who	WP	who
have	VBP	have
left	VBN	leave
a	DT	a
political	JJ	political
group	NN	group
.	.	.

Have	VBP	have
you	PRP	you
received	VBN	receive
any	DT	any
notification	NN	notification
of	IN	of
any	DT	any
Members	NNS	member
leaving	VBG	leave
the	DT	the
Group	NNP	Group
of	IN	of
the	DT	the
European	NNP	European
People	NNPS	People
's	POS	's
Party	NNP	Party
or	CC	or
does	VBZ	do
the	DT	the
Austrian	NNP	Austrian
People	NNPS	People
's	POS	's
Party	NNP	Party
continue	VB	continue
to	TO	to
sit	VB	sit
in	IN	in
that	DT	that
political	JJ	political
group	NN	group
?	.	?

<SPEAKER	NN	<unknown>
ID=13	NN	<unknown>
NAME="President">	NNP	<unknown>
Mr	NNP	Mr
Corbett	NNP	Corbett
,	,	,
I	PRP	i
have	VBP	have
not	RB	not
received	VBN	receive
any	DT	any
notification	NN	notification
.	.	.

<SPEAKER	NN	<unknown>
ID=14	NN	<unknown>
LANGUAGE="DE	NNP	<unknown>
"	NNP	"
NAME="Poettering">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
I	PRP	i
am	VBP	be
amazed	VBN	amaze
at	IN	at
Mr	NNP	Mr
Corbett	NNP	Corbett
'	POS	'
s	POS	s
reaction	NN	reaction
.	.	.

He	PRP	he
should	MD	should
find	VB	find
other	JJ	other
ways	NNS	way
of	IN	of
raising	VBG	raise
his	PRP$	his
profile	NN	profile
than	IN	than
expressing	VBG	express
views	NNS	view
on	IN	on
such	JJ	such
matters	NNS	matter
here	RB	here
.	.	.

<P>	FW	<unknown>
<P>	VBP	<unknown>
We	PRP	we
are	VBP	be
solidly	RB	solidly
with	IN	with
our	PRP$	our
Austrian	JJ	Austrian
friends	NNS	friend
who	WP	who
have	VBP	have
proven	VBN	prove
to	TO	to
be	VB	be
good	JJ	good
Europeans	NNPS	Europeans
in	IN	in
the	DT	the
past	NN	past
.	.	.

They	PRP	they
have	VBP	have
our	PRP$	our
full	JJ	full
support	NN	support
.	.	.

<P>	NNP	<unknown>
(	(	(
Applause	NNP	Applause
)	)	)
<P>	NNP	<unknown>
<CHAPTER	NNP	<CHAPTER
ID=2>	NNP	<unknown>
Agenda	NNP	Agenda
<SPEAKER	NNP	<SPEAKER
ID=15	NNP	<unknown>
NAME="President">	NNP	<unknown>
With	IN	with
regard	NN	regard
to	TO	to
the	DT	the
agenda	NN	agenda
for	IN	for
Thursday	NNP	Thursday
,	,	,
following	VBG	follow
a	DT	a
request	NN	request
made	VBN	make
yesterday	NN	yesterday
in	IN	in
plenary	NN	plenary
,	,	,
I	PRP	i
propose	VBP	propose
extending	VBG	extend
the	DT	the
debate	NN	debate
on	IN	on
topical	JJ	topical
and	CC	and
urgent	JJ	urgent
subjects	NNS	subject
of	IN	of
major	JJ	major
importance	NN	importance
by	IN	by
half	PDT	half
an	DT	an
hour	NN	hour
to	TO	to
6.00	CD	6.00
p.m.	NN	p.m.
when	WRB	when
the	DT	the
vote	NN	vote
will	MD	will
take	VB	take
place	NN	place
.	.	.

<P>	NNP	<unknown>
(	(	(
Parliament	NNP	Parliament
gave	VBD	give
its	PRP$	its
assent	NN	assent
)	)	)
<CHAPTER	NNP	<CHAPTER
ID=3>	NNP	<unknown>
Commission	NNP	Commission
's	POS	's
strategic	JJ	strategic
objectives	NNS	objective
and	CC	and
legislative	JJ	legislative
programme	NN	programme
<SPEAKER	NN	<unknown>
ID=16	NNP	<unknown>
NAME="President">	NNP	<unknown>
The	DT	the
next	JJ	next
item	NN	item
is	VBZ	be
the	DT	the
joint	JJ	joint
debate	NN	debate
on	IN	on
the	DT	the
Commission	NNP	Commission
statements	NNS	statement
on	IN	on
its	PRP$	its
strategic	JJ	strategic
objectives	NNS	objective
for	IN	for
the	DT	the
coming	VBG	come
five	CD	five
years	NNS	year
and	CC	and
the	DT	the
annual	JJ	annual
legislative	JJ	legislative
programme	NN	programme
for	IN	for
2000	CD	2000
.	.	.

<P>	RB	<unknown>
I	PRP	i
therefore	RB	therefore
immediately	RB	immediately
give	VBP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
President	NNP	President
of	IN	of
the	DT	the
Commission	NNP	Commission
,	,	,
Mr	NNP	Mr
Prodi	NNP	Prodi
.	.	.

<SPEAKER	NN	<unknown>
ID=17	NNP	<unknown>
LANGUAGE="IT	NNP	<unknown>
"	NNP	"
NAME="Prodi">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
a	DT	a
five-year	JJ	five-year
programme	NN	programme
is	VBZ	be
an	DT	an
extremely	RB	extremely
important	JJ	important
undertaking	NN	undertaking
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
I	PRP	i
preferred	VBD	prefer
that	IN	that
you	PRP	you
be	VB	be
given	VBN	give
the	DT	the
unabridged	JJ	unabridged
text	NN	text
of	IN	of
the	DT	the
speech	NN	speech
,	,	,
which	WDT	which
is	VBZ	be
available	JJ	available
in	IN	in
four	CD	four
languages	NNS	language
.	.	.

<P>	NNP	<unknown>
To	TO	to
respect	VB	respect
my	PRP$	my
speaking	VBG	speak
time	NN	time
,	,	,
I	PRP	i
will	MD	will
confine	VB	confine
myself	PRP	myself
to	TO	to
referring	VBG	refer
only	RB	only
to	TO	to
the	DT	the
broad	JJ	broad
outlines	NNS	outline
of	IN	of
my	PRP$	my
programme	NN	programme
:	:	:
a	DT	a
programme	NN	programme
for	IN	for
the	DT	the
dawning	NN	dawning
of	IN	of
a	DT	a
new	JJ	new
legislature	NN	legislature
and	CC	and
a	DT	a
new	JJ	new
century	NN	century
,	,	,
when	WRB	when
it	PRP	it
is	VBZ	be
right	JJ	right
and	CC	and
proper	JJ	proper
to	TO	to
see	VB	see
Europe	NNP	Europe
in	IN	in
a	DT	a
broader	JJR	broad
perspective	NN	perspective
,	,	,
a	DT	a
Europe	NNP	Europe
which	WDT	which
is	VBZ	be
currently	RB	currently
in	IN	in
a	DT	a
paradoxical	JJ	paradoxical
situation	NN	situation
.	.	.

Let	VB	let
us	PRP	us
remember	VB	remember
that	IN	that
for	IN	for
half	PDT	half
a	DT	a
century	NN	century
,	,	,
Europe	NNP	Europe
has	VBZ	have
provided	VBN	provide
us	PRP	us
with	IN	with
peace	NN	peace
,	,	,
security	NN	security
and	CC	and
freedom	NN	freedom
and	CC	and
a	DT	a
united	VBN	unite
Europe	NNP	Europe
has	VBZ	have
also	RB	also
contributed	VBN	contribute
to	TO	to
giving	VBG	give
us	PRP	us
a	DT	a
period	NN	period
of	IN	of
unprecedented	JJ	unprecedented
prosperity	NN	prosperity
.	.	.

<P>	VBP	<unknown>
We	PRP	we
are	VBP	be
now	RB	now
seeing	VBG	see
the	DT	the
beginning	NN	beginning
of	IN	of
a	DT	a
strong	JJ	strong
recovery	NN	recovery
,	,	,
which	WDT	which
it	PRP	it
appears	VBZ	appear
may	MD	may
even	RB	even
be	VB	be
sustainable	JJ	sustainable
for	IN	for
a	DT	a
good	JJ	good
while	NN	while
yet	RB	yet
if	IN	if
we	PRP	we
are	VBP	be
prudent	JJ	prudent
with	IN	with
our	PRP$	our
policies	NNS	policy
.	.	.

This	DT	this
recovery	NN	recovery
is	VBZ	be
the	DT	the
logical	JJ	logical
consequence	NN	consequence
of	IN	of
the	DT	the
efforts	NNS	effort
we	PRP	we
have	VBP	have
made	VBN	make
,	,	,
but	CC	but
it	PRP	it
comes	VBZ	come
at	IN	at
a	DT	a
price	NN	price
:	:	:
it	PRP	it
follows	VBZ	follow
the	DT	the
restructuring	NN	restructuring
of	IN	of
public	JJ	public
accounts	NNS	account
in	IN	in
European	JJ	European
countries	NNS	country
,	,	,
which	WDT	which
have	VBP	have
kept	VBN	keep
inflation	NN	inflation
under	IN	under
control	NN	control
with	IN	with
a	DT	a
policy	NN	policy
wisely	RB	wisely
intended	VBN	intend
to	TO	to
control	VB	control
costs	NNS	cost
and	CC	and
increase	VB	increase
productivity	NN	productivity
in	IN	in
a	DT	a
Europe	NNP	Europe
that	WDT	that
has	VBZ	have
begun	VBN	begin
a	DT	a
vigorous	JJ	vigorous
restructuring	NN	restructuring
of	IN	of
its	PRP$	its
own	JJ	own
industries	NNS	industry
,	,	,
banks	NNS	bank
and	CC	and
public	JJ	public
services	NNS	service
,	,	,
even	RB	even
though	IN	though
this	DT	this
process	NN	process
is	VBZ	be
not	RB	not
yet	RB	yet
complete	JJ	complete
and	CC	and
still	RB	still
has	VBZ	have
a	DT	a
long	JJ	long
way	NN	way
to	TO	to
go	VB	go
.	.	.

<P>	NNP	<unknown>
Nevertheless	RB	nevertheless
,	,	,
despite	IN	despite
these	DT	these
aspects	NNS	aspect
,	,	,
European	JJ	European
citizens	NNS	citizen
are	VBP	be
disappointed	VBN	disappoint
and	CC	and
concerned	VBN	concern
:	:	:
by	IN	by
unemployment	NN	unemployment
which	WDT	which
is	VBZ	be
not	RB	not
falling	VBG	fall
quickly	RB	quickly
enough	RB	enough
;	:	;
by	IN	by
a	DT	a
Europe	NNP	Europe
trailing	VBG	trail
behind	IN	behind
in	IN	in
technology	NN	technology
,	,	,
and	CC	and
seemingly	RB	seemingly
falling	VBG	fall
even	RB	even
further	RB	further
behind	RB	behind
,	,	,
and	CC	and
in	IN	in
particular	JJ	particular
a	DT	a
scientific	JJ	scientific
sector	NN	sector
which	WDT	which
is	VBZ	be
starting	VBG	start
to	TO	to
lag	VB	lag
a	DT	a
long	JJ	long
way	NN	way
behind	IN	behind
too	RB	too
;	:	;
by	IN	by
the	DT	the
European	JJ	European
institutions	NNS	institution
which	WDT	which
appear	VBP	appear
distant	JJ	distant
and	CC	and
do	VBP	do
not	RB	not
seem	VB	seem
to	TO	to
be	VB	be
in	IN	in
step	NN	step
with	IN	with
the	DT	the
times	NNS	time
,	,	,
starting	VBG	start
with	IN	with
the	DT	the
Commission	NNP	Commission
itself	PRP	itself
.	.	.

The	DT	the
crisis	NN	crisis
in	IN	in
the	DT	the
Commission	NNP	Commission
was	VBD	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
a	DT	a
crucial	JJ	crucial
point	NN	point
in	IN	in
the	DT	the
relationship	NN	relationship
between	IN	between
Europe	NNP	Europe
and	CC	and
its	PRP$	its
citizens	NNS	citizen
,	,	,
and	CC	and
the	DT	the
low	JJ	low
turnout	NN	turnout
at	IN	at
the	DT	the
European	JJ	European
elections	NNS	election
was	VBD	be
a	DT	a
worrying	VBG	worry
indication	NN	indication
of	IN	of
this	DT	this
.	.	.

<P>	IN	<unknown>
Even	RB	even
stronger	JJR	strong
still	RB	still
,	,	,
however	RB	however
,	,	,
is	VBZ	be
the	DT	the
sense	NN	sense
of	IN	of
insecurity	NN	insecurity
,	,	,
the	DT	the
feeling	NN	feeling
of	IN	of
being	VBG	be
unprepared	JJ	unprepared
in	IN	in
a	DT	a
new	JJ	new
world	NN	world
that	WDT	that
is	VBZ	be
moving	VBG	move
forwards	RB	forwards
,	,	,
a	DT	a
world	NN	world
which	WDT	which
is	VBZ	be
completely	RB	completely
changing	VBG	change
,	,	,
where	WRB	where
globalisation	NN	globalisation
will	MD	will
even	RB	even
end	VB	end
up	RP	up
changing	VBG	change
our	PRP$	our
points	NNS	point
of	IN	of
reference	NN	reference
.	.	.

This	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
this	DT	this
has	VBZ	have
happened	VBN	happen
:	:	:
Europe	NNP	Europe
was	VBD	be
once	RB	once
confronted	VBN	confront
with	IN	with
a	DT	a
similar	JJ	similar
transformation	NN	transformation
,	,	,
an	DT	an
explosion	NN	explosion
of	IN	of
its	PRP$	its
markets	NNS	market
,	,	,
a	DT	a
change	NN	change
in	IN	in
its	PRP$	its
points	NNS	point
of	IN	of
reference	NN	reference
and	CC	and
a	DT	a
different	JJ	different
view	NN	view
of	IN	of
the	DT	the
world	NN	world
.	.	.

I	PRP	i
am	VBP	be
referring	VBG	refer
to	TO	to
the	DT	the
sixteenth	JJ	sixteenth
century	NN	century
when	WRB	when
the	DT	the
discovery	NN	discovery
of	IN	of
America	NNP	America
turned	VBD	turn
everything	NN	everything
upside	RB	upside
down	RB	down
.	.	.

Some	DT	some
countries	NNS	country
